UID,Text,video_doorbell,gate,lock,intercom,lights,dog,police,security_camera_system,none,warning_sign,guard_ID_resident,security_screen_door
10040878,This is a large home on a dead end middle income section of Van Ness St. The first section of Van Ness is low income. There is a large Do Not Enter sign at the start of the section despite it apparently bring a public highway. The mailboxes for 105 and the only other house on this section are by the sign. 105 has no doorbell. It has security lights. The front door is secured with a lock that requires a numerical entry code,,,1,,1,,,,,1,,
10041257,Doorman. Signs with no trespassing/soliciting,,,,,,,,,,1,1,
10041440,The property is fenced and gated but gat was a manually operated one.,,1,,,,,,,,,,
10041655,CallBox requires code to enter. Need name of resident to be able to call up. Garage entrance also gated with roll-gates.,,1,,1,,,,,,,,
10041741,Locked screen door,,,1,,,,,,,,,1
10041871,Black fence only also no bells,,1,,,,,,,,,,
10042841,Lights lining the driveway.,,,,,1,,,,,,,
10044397,Tan brick house; very nice neighborhood; double car garage;  vey well maintained yard; the address 3914 was not easy to see; it?€?s located on the side curve,,,,,,,,,,,,
10044494,Porch light,,,,,1,,,,,,,
10044609,Locked building. Have to ring buzzer to get in.,,,1,1,,,,,,,,
10044955,Security screen door,,,,,,,,,,,,1
10045646,Key code access to garage door,,,,,,,,,,,,
10045925,No issues.,,,,,,,,,,,,
10046025,Side gate to apt 1 has a locked black gate also camera at top of stairs as you walk up,,1,1,,,,,1,,,,
10046111,Gated community,,1,,,,,,,,,,
10047222,No cameras no security,,,,,,,,,1,,,
10047501,Address has a locked gate and a big sign in front that says ?€?We don?€?t call 911.?€? Words are flanked by images of guns.,,1,,,,,,,,1,,
10048054,This is a cabin used seasonally for hunting.,,,,,,,,,,,,
10048656,Can not enter without passcode to get through the gate.,,1,,,,,,,,,,
10048827,I only could see the DU from a distance. It is on a mud track and the entrance to the track is barricaded with a wire. There are two posted signs saying ?€?trespassing?€? is ?€?strictly forbidden?€? . I left a SIMI on the mail box post,,1,,,,,,,,1,,
10049756,Gate was unlocked.,,1,1,,,,,,,,,
10050448,Residence looks like an earthberm house with locked gate at property entrance and dog free roaming on property.,,1,1,,,1,,,,,,
10050608,Gated apartment complex but the gate is opened and the units accessible.,,1,,,,,,,,,,
10050716,Yard has lots of weeds,,,,,,,,,,,,
10050943,Spoke with a neighbor because there seems to be no Apt.4.  Looks like they boarded up the Unit. Gave me directions for the rental office. Said the unit is sealed.,,,,,,,,,,,,
10051162,Vivint Security sign out front and bars on door,,,,,,,,,,1,,
10052217,The neighborhood is composed of row houses.  No security measures seen.,,,,,,,,,1,,,
10052444,Lights out on the outskirts of the fixture,,,,,1,,,,,,,
10053049,Gates are broken and units are accessible.,,,,,,,,,1,,,
10054859,Can?€?t get in big property and land,,,,,,,,,,,,
10055948,Very difficult to park. No parking on Canoga Ave or Burbank Bl,,,,,,,,,,,,
10056833,You must have a key to get into apt building,,,1,,,,,,,,,
10057665,You have to have number to access dwelling unit,,,,,,,,,,,,
10057977,Screen security door,,,,,,,,,,,,1
10058884,Need identification badge to get into apt building,,,,,,,,,,,1,
10058969,"Resident parking only, others will be towed sign; parking lot is fenced in; peephole in door of DU",,,,,,,,,,1,,1
10059188,There are 3 parking spaces outside the gate where one can back in and wait to follow a resident in.  It is the 2nd building on the right and apt faces west,,1,,,,,,,,,,
10059531,She has a huge Rottweiler dog for protection,,,,,,1,,,,,,
10059597,None noticed,,,,,,,,,1,,,
10061055,steel bar on front entry door.,,,,,,,,,,,,
10062605,Front door looks open from the road.,,,1,,,,,,,,,
10062928,Building is a high rise apartment building with no public access - guard would not allow me to leave brochure,,,,,,,,,,,1,
10062984,"video doorbell, nearby street sign for a neighborhood Crime watch",1,,,,,,,,,1,,
10063329,Older gentleman ,,,,,,,,,,,,
10063589,This is an underdeveloped area where it looks like logging activity is occurring.,,,,,,,,,,,,
10063891,Locked hallway door can?€?t knock on apt door,,,1,,,,,,,,,
10064054,Dogs roaming freely in the yard,,,,,,1,,,,,,
10065091,Back part of a business,,,,,,,,,,,,
10066414,Need code to enter the apartment building.,,,1,,,,,,,,,
10066599,Gated fence to enter into driveway,,1,,,,,,,,,,
10066663,Storm door locked not sure door bell works,,,1,,,,,,,,,
10067321,Has Nest doorbell/camera feature,1,,,,,,,,,,,
10067592,Apartment building need key fob to enter the building.,,,1,,,,,,,,,
10067989,Locked Iron Gate,,1,1,,,,,,,,,
10068261,"Gate at the end of driveway was wide open today. Dog did not bark. Long driveway and front door is in the back, so is not visible from the street.",,1,,,,1,,,,,,
10068584,Sign no soliciting.,,,,,,,,,,1,,
10069059,It appears the entrance gate is left open on weekends during the day.,,1,,,,,,,,,,
10069327,House is vacant,,,,,,,,,,,,
10069640,This DU is an apartment building. ,,,,,,,,,,,,
10070116,House with dark and light green siding; signs all over her door;,,,,,1,,,,,1,,
10070398,None seen,,,,,,,,,1,,,
10070871,This unit is gated,,1,,,,,,,,,,
10071120,Door bell,1,,,,,,,,,,,
10071487,Secure parking garage at the building,,,,,,,,,,,,
10071777,Screen security door,,,,,,,,,,,,1
10072156,Ring door bell,1,,,,,,,,,,,
10072985,Last bldg on the left.,,,,,,,,,,,,
10075230,Could see sign warning owner willing to use a gun instead of calling 911.,,,,,,,,,,1,,
10075650,Lights mounted over garage door,,,,,1,,,,,,,
10075906,Ring video doorbell.,1,,,,,,,,,,,
10075917,No security measures noted,,,,,,,,,1,,,
10076006,Locks on mailboxes,,,,,,,,,,,,
10076824,There are guard dogs tied up in the back of the DU. Owner said they can break away if agitated.,,,,,,1,,,,,,
10076880,No trespassing sign DU located down an ally off the street,,,,,,,,,,1,,
10077128,Security screen door,,,,,,,,,,,,1
10078972,Daycare facility,,,,,,,,,,,,
10079180,This home is in the Yacht & Country Club development where there are multiple guards manning guard house to call residents to allow entry.,,,,,,,,,,,1,
10079362,The gate that allows cars to enter the property was open,,1,,,,,,,,,,
10080106,The bells (approximately 12) have names on them but NO Apartment number. Unable to determine which bell goes to which DU.,1,,,,,,,,,,,
10080269,This DU is an apartment building. ,,,,,,,,,,,,
10080719,Surveillance camera; new home; Large green recycling bin by the curve; security lights no one home; house totally dark,,,,,1,,,1,,,,
10080753,Apartment complex: Cars parked in the parking area; you can park anywhere: walk towards a area where you go to the back and look for the apartment #207 there are two apartments upstairs and two downstairs. This one is upstairs no one present at the time. No visible evidence of anyone lives there,,,,,,,,,,,,
10080979,Must be buzzed in by intercom system,,,,1,,,,,,,,
10082232,This is a senior residential low income building with security guard access. Security guard stated only people approved by building management can enter the building.,,,,,,,,,,,1,
10082588,1720 Milan Apartment; building 6; several apartment complexes; all three story; apartment has garages so you have to look for spot to park where there aren?€?t any garages; second floor at the front of building 6; black trash can outside door;,,,,,,,,,,,,
10083257,Security screen door,,,,,,,,,,,,1
10083291,"Door locked, multiple DU?€?s.
Will need to contact apt Mgr",,,1,,,,,,,,,
10084227,Locked building - appears vacant,,,1,,,,,,,,,
10084294,Security system doorbell camera.,1,,,,,,,,,,,
10084380,Metal security screen,,,,,,,,,,,,1
10084807,Has RING doorbell,1,,,,,,,,,,,
10084830,There were people walking there dog; saw a Caucasian man on a wheelchair walking his dog in the rain: no sign of anyone home; no car present in the driveway; parked cars along the side street; dogs were barking inside: don?€?t park in driveway because it blocks the parking entrance of the unit directly behind; Halloween decorations outside in yard,,,,,,1,,,,,,
10085189,No access. Must use callbox to enter. Must have resident passcode or resident phone number to have barricade open.,,,,1,,,,,,,,
10085479,"Assigned pkg., others will be towed. No standing, loitering, or soliciting",,,,,,,,,,1,,
10085480,Video doorbell,1,,,,,,,,,,,
10086278,No issues with access to D/U,,,,,,,,,1,,,
10086557,Flood lights on sides of building.,,,,,1,,,,,,,
10086784,Security screen door,,,,,,,,,,,,1
10087099,Vacant DU,,,,,,,,,,,,
10087293,A gate code or permission from homeowners required to gain interest.,,1,,,,,,,,,,
10087527,Could not access apt. Doorman,,,,,,,,,,,1,
10087970,This house is attached to a church. The owner is a pastor of a Lutheran church,,,,,,,,,,,,
10089664,Violation ordinance 04-15 per city of lake village,,,,,,,,,,,,
10089686,Private property sign,,,,,,,,,,1,,
10090721,Must be buzzed in by resident,,,,1,,,,,,,,
10092095,No door bell on the outside. Have to open the screen door and knock,,,,,,,,,,,,1
10092288,Buzz of apartment needed for access,,,,1,,,,,,,,
10093087,Deadbolt lock in addition to regular door knob at front door.,,,1,,,,,,,,,
10094109,Flood lights. Keyless entry,,,,,1,,,,,,,
10094336,Ring doorbell; security screen door,1,,,,,,,,,,,1
10094455,Gated community,,1,,,,,,,,,,
10094466,Security guard and gate. Gave my name and address then I was allowed in,,1,,,,,,,,,1,
10094778,Flood lights at garage in front of house.,,,,,1,,,,,,,
10094790,The whole area so now closed off by police but the complex has a secure black fence all around it no access,,1,,,,,,,,,,
10095425,DU doesn?€?t have any visible security features.,,,,,,,,,1,,,
10095919,This is a vacant DU . It is difficult to get to. Unit not kept up.,,,,,,,,,,,,
10096644,Security screen on door,,,,,,,,,,,,1
10096912,Ring Doorbell,1,,,,,,,,,,,
10097164,None identified,,,,,,,,,1,,,
10097807,The address is correct But look for the street name Viscaya Dr; the condos set across to the side as you enter there is a gate code to enter; but the electric gate was open; as you pull in make the first left; then right; the condo sits facing As you enter; Halloween decorations outside door: black trash can on poach; rug on from poach; security sign on door.,,1,,,,,,,,1,,
10098037,Storm door locked.,,,1,,,,,,,,,
10098800,Must buzz apartment for access,,,,1,,,,,,,,
10098833,Ring doorbell,1,,,,,,,,,,,
10098844,For sale sign,,,,,,,,,,,,
10099308,DU has a fence around the property,,1,,,,,,,,,,
10100774,Cameras inside building,,,,,,,,1,,,,
10100815,Guard house no one inside,,,,,,,,,,,1,
10101517,"This house is on a Main Street, park on the side street for safety reasons lots of traffic 
",,,,,,,,,,,,
10101971,Gated community,,1,,,,,,,,,,
10102145,Passcode entry for parking. Very well lit building and parking lot.,,,,,1,,,,,,,
10102509,Have to turn in photo Id to gain a key fob to enter into gates in community. Receptionist holds id until I return. Parked in leasing office garage. Over 1500 units,,1,,,,,,,,,1,
10102651,No cameras but metal iron gate on doors and windows,,1,,,,,,,,,,
10102781,Ring doorbell,1,,,,,,,,,,,
10103278,Black Nissan Xterra parked outside on street; dead plants outside,,,,,,,,,,,,
10104130,Have to go to leasing office to gain entry to specific buildings,,,,,,,,,,,,
10104174,Unit appears to accordion shutters,,,,,,,,,,,,
10104635,Vacant dwelling,,,,,,,,,,,,
10104958,Posted KEEP OUT sign,,,,,,,,,,1,,
10105445,Ring doorbell for access,1,,,,,,,,,,,
10106404,"Well lit at night, sign saying private property - no walk-through traffic, sign saying fine for dumping furniture at the dumpster, no visitor parking",,,,,1,,,,,1,,
10107043,None just a front door and a side door no visible cameras,,,,,,,,,1,,,
10107270,"Small barking dog, not aggressive.",,,,,,1,,,,,,
10108110,This Is a sorority house I will call tomorrow to see if it?€?s eligible or not,,,,,,,,,,,,
10108228,No concerns.,,,,,,,,,,,,
10108507,Need to see management to enter .,,,,,,,,,,,1,
10108529,Sign on iron security gates reads CAUTION I live hear with a picture of their German Shepard. White Mercedes SUV in drvway,,1,,,,,,,,1,,
10109812,"Control access, by intercom, buzzer",,,,1,,,,,,,,
10110269,No security measures noticed,,,,,,,,,1,,,
10110292,?€?Ring?€? doorbell to right of garage and to left of 2nd door.,1,,,,,,,,,,,
10110311,Locked door Key access only,,,1,,,,,,,,,
10110559,No visible security features.,,,,,,,,,1,,,
10110593,Ring doorbell,1,,,,,,,,,,,
10110708,No security measures noticed,,,,,,,,,1,,,
10111002,The gate is closed and you,,1,,,,,,,,,,
10111455,Gated area unable to enter,,1,,,,,,,,,,
10111819,Ring-type video doorbell,1,,,,,,,,,,,
10112403,Must have security code to get thru gate,,1,,,,,,,,,,
10112856,Security gate,,1,,,,,,,,,,
10113495,4 story building.,,,,,,,,,,,,
10113729,Outside door lights.,,,,,1,,,,,,,
10113934,"The DU is in a fairly decent area but is located on a major road. Will need to park on Starkridge, side street and walk to front door.",,,,,,,,,,,,
10114528,Gate broken,,,,,,,,,1,,,
10114692,Keyless door entry.,,,,,,,,,,,,
10115071,Has ring camera and outside camera mounted on roof,1,,,,,,,1,,,,
10115134,Key pad on locked front entrance - unable to access,,,1,,,,,,,,,
10116234,Poor area dog outside barking; people hanging outside; apartment upstairs in the middle area,,,,,,1,,,,,,
10116643,Need a name and code to enter,,,1,,,,,,,,,
10116654,Alder security sign present ,,,,,,,,,,1,,
10117107,Peephole in front door,,,,,,,,,,,,1
10117174,Must use the buzzer system to access the unit. Units are labeled by floor number and last names.,,,,1,,,,,,,,
10117680,Security screen,,,,,,,,,,,,1
10117828,Balcones Woods apartment; off of Research Blvd and Hwy 183; enter complex building ; building first complex on the right ; look for building 8; apartment downstairs;no one home; park anywhere; open area; no gate entrance;,,,,,,,,,,,,
10118843,Gate is broken,,,,,,,,,1,,,
10118939,"Saw keypad to gain access thru gate, but gate was wide open",,1,,,,,,,,,,
10119330,Gated community,,1,,,,,,,,,,
10119374,The neighborhood is composed of row houses. ,,,,,,,,,,,,
10119705,"""Ring?€? doorbell with camera",1,,,,,,,,,,,
10120000,Vacant,,,,,,,,,,,,
10120378,Building is vacant and boarded,,,,,,,,,,,,
10121047,Ring doorbell,1,,,,,,,,,,,
10121296,Not sure as I couldn?€?t get to the DU but I don?€?t think so,,,,,,,,,,,,
10121337,Authorized parking only signs,,,,,,,,,,1,,
10121854,This is a multi story apt building. With a security guard at the door,,,,,,,,,,,1,
10121984,Guard and gate. Gave name and address and I was allowed in,,1,,,,,,,,,1,
10122385,This is a duplex. The unit is on the right side.,,,,,,,,,,,,
10122396,Must sign in and must have specific business with a resident,,,,,,,,,,,1,
10122415,"Resident parking only, others towed, no handbills and no soliciting, peephole in apt. door, not responsible for theft or damage to vehicles",,,,,,,,,,1,,1
10123429,None only intercom system,,,,1,,,,,,,,
10123902,Athena Apartments you need a code to get past the front gated door to be able to get access to the apartment complex,,1,,,,,,,,,,
10124530,No door bell/ broken ones. Home in disrepair compared to others,,,,,,,,,,,,
10124626,Warnings posted at end of driveway stating no soliciting or trespassing,,,,,,,,,,1,,
10125179,"Need a card to enter elevator bank and the main lobby, sign saying the person you are visiting must let you in",,,,,,,,,,,1,
10126224,Private Driveway Sign with a rope attached to block the entry way.,,1,,,,,,,,1,,
10127120,It is an assisted living facility where residents have their own apt but are overseen by nursing care with meds and help with daily activities,,,,,1,,,,,,,
10127915,This is the Edith Spurlock Sampson Apartments. The address is here Miguel wrong because you need a 3 digit apartment number. This just says apartment 2. We need a address like apt 201,,,,,,,,,,,,
10128190,Ring video camera doorbell,1,,,,,,,,,,,
10128264,I did not see any,,,,,,,,,1,,,
10128543,Big Dog came outside to use the restroom;,,,,,,1,,,,,,
10128822,Ring doorbell,1,,,,,,,,,,,
10129847,Keypad to enter,,,1,,,,,,,,,
10130227,There is a security door. Unless you know who resident is no access to them,,,1,,,,,,,,,
10130528,Chain link fence,,1,,,,,,,,,,
10131071,Many many no trespassing signs and beware of do.,,,,,,,,,,1,,
10131112,Gate chained and locked - dog in yard,,1,1,,,1,,,,,,
10131468,Rural residence is difficult to see security measures such as cameras,,,,,,,,,1,,,
10131554,There is a screen door on the front door but was not locked,,,,,,,,,,,,1
10132234,Elderly assisted living home with separate apartments,,,,,,,,,,,,
10132698,Fenced in backyard,,1,,,,,,,,,,
10133312,Barbed wire on the security gate.,,1,,,,,,,,,,
10135329,There is a guard hut with a crossing guard that was up that has a red and green light. It is a private community.,,,,,1,,,,,,1,
10136225,Gated community with single family homes with in the gate . Police officer and guard at the entrance stated celebrity lives there.,,1,,,,,1,,,,1,
10136366,Apt. has a peephole in the door.,,,,,,,,,,,,1
10136407,"Gated entry to apartment complex, however gate was open",,1,,,,,,,,,,
10136720,Must rang doorbell to access,1,,,,,,,,,,,
10137046,Parking for guests is limited in the complex.,,,,,,,,,,,,
10137615,No security measures seen,,,,,,,,,1,,,
10138049,Security gate,,1,,,,,,,,,,
10138812,"Although there is no fence around the premise, two dogs are barking in front of trailer, and two trucks are are home; however, no one came out when I blew my horn.",,,,,,1,,,,,,
10140187,Building staff on site this is an independent living apartment bldg which is owned by the attached nursing home.,,,,,,,,,,,,
10140295,The home is for sale.  Sale sign in front yard. ,,,,,,,,,,,,
10140886,No issues.,,,,,,,,,,,,
10141384,Motion activated lights by driveway and porch,,,,,1,,,,,,,
10141522,Need gate card to enter.  Was lucky to find a preteen girl to let me in.  Found close by street parking as a key card is needed to access resident parking.,,1,,,,,,,,,,
10142815,Security screen door,,,,,,,,,,,,1
10142901,3 very aggressive dogs. Unsafe to exit car.,,,,,,1,,,,,,
10143090,Metal security door,,,,,,,,,,,,1
10143164,Looks vacant broken windows holes in roof,,,,,,,,,,,,
10143197,Had a ?€?enforcer?€? doorbell with video capability,1,,,,1,,,,,,,
10143391,Ring video camera,1,,,,,,,,,,,
10144703,Neighborhood watch,,,,,,,,,,1,,
10145029,SP utilizes a keyed enter lock.,,,1,,,,,,,,,
10145212,No trespassing signs,,,,,,,,,,1,,
10145319,Observed a separate entrance. Might be 2 family,,,,,,,,,,,,
10145364,This DU had a door bell with camera,1,,,,,,,,,,,
10146174,"Locked gate no intercom or call box, no access to front door",,1,,,,,,,,,,
10146431,It is vacant. Private property/no trespassing sign posted,,,,,,,,,,1,,
10147199,Apartment building with buzzer system,,,,1,,,,,,,,
10148697,DU is farm on very rural area,,,,,,,,,,,,
10149720,RINg doorbell,1,,,,,,,,,,,
10150081,Trash debris,,,,,,,,,,,,
10150274,No security measures noticed,,,,,,,,,1,,,
10150520,Resident must buzz visitors thru locked security door,,,1,1,,,,,,,,
10150962,No issues.,,,,,,,,,,,,
10151062,"Security screen door, rind doorbell",,,,,,,,,,,,1
10151523,Security guard. Gave my name and address I was visiting. I was allowed in,,,,,,,,,,,1,
10151794,Wildcreek Apartment; building F; park anywhere; gray apartment with blue trim,,,,,,,,,,,,
10151976,Neighborhood watch sign on street light pole in front of house,,,,,1,,,,,1,,
10151998,Gated community,,1,,,,,,,,,,
10152139,Victory Place Apartment ,,,,,,,,,,,,
10152269,Camera bell,1,,,,,,,,,,,
10152720,Only metal gate on actual door entrance,,1,,,,,,,,,,
10152850,There is a coded keypad at the entrance utilized to gain entry. Currently broken,,,1,,,,,,,,,
10152935,Video door bell.,1,,,,,,,,,,,
10155086,The apartment has buzzer access but the main door was unlocked to access apartment units.,,,1,1,,,,,,,,
10156647,Security screen,,,,,,,,,,,,1
10156915,Saw realtors key drop box on DU,,,,,,,,,,,,
10157037,?€?Ring?€? doorbell,1,,,,,,,,,,,
10157606,No visible precautions,,,,,,,,,1,,,
10157781,All DUs on street have security fences and locked gates with bars on the windows and security doors,,1,1,,,,,,,,,
10158148,Flood lights.,,,,,1,,,,,,,
10160446,Need to be buzzed in by resident,,,,1,,,,,,,,
10160606,Locked doors,,,1,,,,,,,,,
10162282,There are three dogs that are fairly aggressive and loose. They will chase and block the car.,,,,,,1,,,,,,
10162527,Member Neighborhood Crime Watch sticker on front window.,,,,,,,,,,1,,
10163047,No security,,,,,,,,,1,,,
10163843,Access to DU is through locked security door. There is alphabetical call box with unit # can call DU.,,,1,1,,,,,,,,
10163984,Doorbell located outside the front porch gate.,1,1,,,,,,,,,,
10164200,"Dumpster in front of du, 1 gray Toyota Rava with for sale sign",,,,,,,,,,,,
10164329,Nonr,,,,,,,,,1,,,
10164590,No issues.,,,,,,,,,,,,
10165076,No obvious security. Front door was open when I arrived .,,,,,,,,,1,,,
10165430,The building is vacant and the entrance door is fenced with a back yard padlock. According to neighbors the building is empty and is being repaired,,1,1,,,,,,,,,
10166444,Key code entrance on door,,,1,,,,,,,,,
10167339,2 large dogs at home and ring system doorbell at the front entranceway,1,,,,,1,,,,,,
10167340,Camera at door,,,,,,,,1,,,,
10167469,Lights going up the front steps,,,,,1,,,,,,,
10167470,Assisted living facility but residents have their own apartments within the buliding,,,,,,,,,,,,
10168172,Security lights,,,,,1,,,,,,,
10168309,Residence is a group home !,,,,,,,,,,,,
10168321,Tan house fenced backyard; three trash cans sitting side by side; house on the corner lot; large window with curtains open; as I ring the doorbell several very Large Dogs came barking at me; the neighbors where out walking their dogs; several neighbors; no signs of anyone present no vehicle parked; park on the street by mail box,1,1,,,,1,,,,,,
10168558,DU is part of a grocery store. Believe people who own/work in the grocery store lives there.  No bell(s) to ring,,,,,,,,,,,,
10169078,Car gate at entrance.  I followed a car in.  There was a coded gate to get into the building but it was propped open.,,1,,,,,,,,,,
10169410,Security door.  Residents must release door from unit to allow access to visitors,,,1,,,,,,,,,
10170254,"No security measures noted. Small, rural area.",,,,,,,,,1,,,
10170298,Security screen door,,,,,,,,,,,,1
10170469,Lime green house; signs are written in Spanish and English; security alarm; beware of dog; toys in yard,,,,,,1,,1,,1,,
